ID,Group,Gender,Age,Education,Condition,MinAl,MinNonAl,CV,Lags,NTrials,RobustCV,QCV
01_35_GI,1,2,38,16,1,-3.84165718890512,-4.00727500109262,0,296.875,151,0,0
01_35_GI,1,2,38,16,3,-6.53309504177466,-4.30087991120761,32.1324120770552,185.003621688742,151,0.714285714285714,0.303030303030303
01_35_GI,1,2,38,16,2,-4.61695260957725,-3.86254311609191,5.36073951041591,194.329554738562,153,0.0736842105263158,0.0355329949238579
01_35_GI,1,2,38,16,4,-4.03110714979147,-1.35855281319997,19.3045275050846,201.565036525974,154,0.295918367346939,0.138755980861244
01_36_SB,1,2,27,14,1,-4.15340625964933,-1.98383426274886,23.875457874243,196.711546985816,141,0.295454545454545,0.145703611457036
01_36_SB,1,2,27,14,3,-2.94798682930451,-1.82412221755662,8.78408112485781,171.214978448276,145,0.0652173913043478,0.0337078651685393
01_36_SB,1,2,27,14,2,-4.59796350625714,-2.61322714303882,24.7177636815435,191.750110035211,142,0.16,0.0816326530612245
01_36_SB,1,2,27,14,4,-3.71478875632904,-1.1125377804988,19.0948901080079,199.585878759398,133,0.202020202020202,0.0980392156862745
01_37_SD,1,2,40,20,1,-5.33919963948546,-5.07503927481176,3.07260771203907,214.265522203947,152,0.0740740740740741,0.036036036036036
01_37_SD,1,2,40,20,3,-4.95835366090316,-4.51166319531212,3.97981911394798,186.292146381579,152,0.0213903743315508,0.0106382978723404
01_37_SD,1,2,40,20,2,-4.91545465215543,-4.32689098005282,9.66127364591237,206.504420230263,152,0.0476190476190476,0.023696682464455
01_37_SD,1,2,40,20,4,-5.48924023434694,-4.72980561232951,4.92389003678133,220.291940789474,152,0.110091743119266,0.0521739130434783
01_38_SP,1,2,44,10,1,-2.91889409394849,-0.908339287137228,30.9335736159829,193.642064144737,152,0.540540540540541,0.32967032967033
01_38_SP,1,2,44,10,3,-3.3619812899804,-1.57747347916685,22.4108994926542,163.167317708333,144,0.339869281045752,0.160493827160494
01_38_SP,1,2,44,10,2,-3.46527966190184,-1.37267846767684,16.79748143981,154.1015625,150,0.272727272727273,0.157894736842105
01_38_SP,1,2,44,10,4,-2.66010943513506,-1.16972786364413,33.3659579984966,195.261101973684,152,0.708333333333333,0.385390428211587
01_39_MR,1,2,40,15,1,-6.8051461670271,-5.88385398450796,6.14701106300827,182.839439655172,145,0.136363636363636,0.0638297872340425
01_39_MR,1,2,40,15,3,-5.96436311492983,-5.02037627541476,7.31412392338197,164.53071489726,146,0.0740740740740741,0.036144578313253
01_39_MR,1,2,40,15,2,-6.86530792568532,-6.30285706721966,3.56347300666344,184.474571078431,153,0.0537634408602151,0.0261780104712042
01_39_MR,1,2,40,15,4,-6.48279804865696,-5.63321915946655,4.82494719661664,178.835465604027,149,0.043956043956044,0.0222222222222222
01_40_MM,1,2,39,16,1,-4.0548889366227,-2.77077900263366,11.0461445011244,165.668688322368,152,0.19047619047619,0.0952380952380952
01_40_MM,1,2,39,16,3,-4.80824400817612,-4.04321757486806,12.1963181972428,154.372970779221,154,0.102564102564103,0.051948051948052
01_40_MM,1,2,39,16,2,-5.10686521477388,-4.78543984202927,3.36324904969198,180.241935483871,155,0.0666666666666667,0.032258064516129
01_40_MM,1,2,39,16,4,-5.51571526416713,-3.79474877502119,10.820925379528,187.734869462025,158,0.16,0.0824742268041237
01_41_ZA,1,2,26,16,1,-3.34630910766655,-2.38244783138393,10.3747199569944,200.542680369128,149,0.163636363636364,0.0891089108910891
01_41_ZA,1,2,26,16,3,-1.94872376882928,-0.690890887650684,11.8544698746767,180.87576486014,143,0.263157894736842,0.135135135135135
01_41_ZA,1,2,26,16,2,-3.21669504891137,-1.94474427943246,31.5127724238994,202.667025862069,145,0.614583333333333,0.255411255411255
01_41_ZA,1,2,26,16,4,-1.96042024319257,-1.73415618774865,1.65280644646469,256.305054530201,149,0.0303030303030303,0.0153846153846154
01_42_MN,1,1,30,17,1,-7.03857335573778,-4.80856012493292,7.19037286468625,205.052593954248,153,0.0976190476190476,0.0488676996424315
01_42_MN,1,1,30,17,3,-3.85616082927147,-1.4004856490694,14.7074847454669,152.986391129032,155,0.253012048192771,0.133757961783439
